"","Date","Belgium","France","Germany","Italy","Luxembourg"
"1",2020-01-22,"0","0","0","0","0"
"2",2020-01-23,"0","0","0","0","0"
"3",2020-01-24,"0","2","0","0","0"
"4",2020-01-25,"0","3","0","0","0"
"5",2020-01-26,"0","3","0","0","0"
"6",2020-01-27,"0","3","1","0","0"
"7",2020-01-28,"0","4","4","0","0"
"8",2020-01-29,"0","5","4","0","0"
"9",2020-01-30,"0","5","4","0","0"
"10",2020-01-31,"0","5","5","2","0"
"11",2020-02-01,"0","6","8","2","0"
"12",2020-02-02,"0","6","10","2","0"
"13",2020-02-03,"0","6","12","2","0"
"14",2020-02-04,"1","6","12","2","0"
"15",2020-02-05,"1","6","12","2","0"
"16",2020-02-06,"1","6","12","2","0"
"17",2020-02-07,"1","6","13","3","0"
"18",2020-02-08,"1","11","13","3","0"
"19",2020-02-09,"1","11","14","3","0"
"20",2020-02-10,"1","11","14","3","0"
"21",2020-02-11,"1","11","16","3","0"
"22",2020-02-12,"1","11","16","3","0"
"23",2020-02-13,"1","11","16","3","0"
"24",2020-02-14,"1","11","16","3","0"
"25",2020-02-15,"1","12","16","3","0"
"26",2020-02-16,"1","12","16","3","0"
"27",2020-02-17,"1","12","16","3","0"
"28",2020-02-18,"1","12","16","3","0"
"29",2020-02-19,"1","12","16","3","0"
"30",2020-02-20,"1","12","16","3","0"
"31",2020-02-21,"1","12","16","20","0"
"32",2020-02-22,"1","12","16","62","0"
"33",2020-02-23,"1","12","16","155","0"
"34",2020-02-24,"1","12","16","229","0"
"35",2020-02-25,"1","14","16","322","0"
"36",2020-02-26,"1","18","21","453","0"
"37",2020-02-27,"1","38","26","655","0"
"38",2020-02-28,"1","57","53","888","0"
"39",2020-02-29,"1","100","66","1128","1"
"40",2020-03-01,"2","130","117","1694","1"
"41",2020-03-02,"8","191","150","2036","1"
"42",2020-03-03,"13","212","188","2502","1"
"43",2020-03-04,"23","285","262","3089","1"
"44",2020-03-05,"50","423","400","3858","1"
"45",2020-03-06,"109","613","639","4636","2"
"46",2020-03-07,"169","938","795","5883","2"
"47",2020-03-08,"200","1115","902","7375","3"
"48",2020-03-09,"239","1401","1139","9172","3"
"49",2020-03-10,"267","1773","1296","10149","5"
"50",2020-03-11,"314","2281","1567","12462","7"
"51",2020-03-12,"314","2281","2369","15113","19"
"52",2020-03-13,"559","3661","3062","17660","34"
"53",2020-03-14,"689","4469","3795","21157","51"
"54",2020-03-15,"886","4499","4838","24747","59"
"55",2020-03-16,"1058","6633","6012","27980","77"
"56",2020-03-17,"1243","7652","7156","31506","140"
"57",2020-03-18,"1486","9043","8198","35713","203"
"58",2020-03-19,"1795","10871","10999","41035","335"
"59",2020-03-20,"2257","12612","13957","47021","484"
"60",2020-03-21,"2815","14282","16662","53578","670"
"61",2020-03-22,"3401","16533","18610","59138","798"
"62",2020-03-23,"3743","19856","22672","63927","875"
"63",2020-03-24,"4269","22054","27436","69176","1099"
"64",2020-03-25,"4937","24967","31554","74386","1333"
"65",2020-03-26,"6235","28856","36508","80589","1453"
"66",2020-03-27,"7284","32609","42288","86498","1605"
"67",2020-03-28,"9134","37162","48582","92472","1831"
"68",2020-03-29,"10836","39761","52547","97689","1950"
"69",2020-03-30,"11899","44029","57298","101739","1988"
"70",2020-03-31,"12775","51579","61913","105792","2178"
"71",2020-04-01,"13964","56362","67366","110574","2319"
"72",2020-04-02,"15348","58404","73522","115242","2487"
"73",2020-04-03,"16770","63588","79696","119827","2612"
"74",2020-04-04,"18431","46483","85778","124632","2729"
"75",2020-04-05,"19691","47299","91714","128948","2804"
"76",2020-04-06,"20814","49934","95391","132547","2843"
"77",2020-04-07,"22194","46400","99225","135586","2970"
"78",2020-04-08,"23403","50242","103228","139422","3034"
"79",2020-04-09,"24983","54003","108202","143626","3115"
"80",2020-04-10,"26667","55538","113525","147577","3223"
"81",2020-04-11,"28018","56972","117658","152271","3270"
"82",2020-04-12,"29647","107712","120479","156363","3281"
"83",2020-04-13,"30589","110836","123016","159516","3292"
"84",2020-04-14,"31119","128272","125098","162488","3307"
"85",2020-04-15,"33573","131476","127584","165155","3373"
"86",2020-04-16,"34809","144035","130450","168941","3444"
"87",2020-04-17,"36138","145896","133830","172434","3480"
"88",2020-04-18,"37183","149683","137439","175925","3537"
"89",2020-04-19,"38496","150752","139897","178972","3550"
"90",2020-04-20,"39983","153197","141672","181228","3558"
"91",2020-04-21,"40956","155821","143457","183957","3618"
